ID,pass_bar,lsat,ugpa,DOB_yr,grad,fulltime,parttime,fam_inc,race,gender,bar,index6040,indxgrp
2,1,44.0,3.5,69,1,1,0,5,4,0,0,886.842082,6
3,1,29.0,3.5,69,1,1,0,4,4,0,0,649.9999869999998,5
6,1,37.0,3.4,68,1,1,0,3,4,1,0,766.3157709999997,6
7,1,43.0,3.3,67,1,1,0,4,4,0,0,851.052609,6
9,1,41.0,3.3,64,1,1,0,4,4,0,0,819.473663,6
11,1,24.5,2.2,66,1,1,0,4,4,1,1,448.9473585,1
12,1,34.0,3.3,68,1,1,0,4,4,0,1,708.9473519999997,6
13,0,35.0,3.2,64,1,1,0,4,4,1,2,714.736825,6
14,1,40.0,2.4,56,1,1,0,3,4,0,1,713.6841900000002,6
16,1,37.0,3.6,69,1,1,0,3,1,1,1,786.315771,6
17,1,35.0,2.9,62,1,1,0,3,4,0,0,684.736825,5
19,1,33.0,3.3,67,1,1,0,4,4,0,0,693.157879,5
21,1,28.0,2.4,53,1,1,0,3,4,0,0,524.210514,3
23,1,32.5,3.2,69,1,1,0,4,4,0,0,675.2631425,5
24,1,32.5,2.4,66,1,1,0,3,4,1,0,595.2631425,4
25,1,23.0,2.8,64,1,1,0,3,1,0,0,485.263149,2
26,1,37.0,2.8,69,1,1,0,3,4,0,0,706.3157709999997,6
27,1,41.0,3.9,64,1,1,0,3,4,0,0,879.4736630000001,6
28,1,40.0,2.8,65,1,1,0,4,1,0,0,753.6841900000002,6
29,1,30.0,3.3,68,1,1,0,4,4,0,0,645.78946,5
30,1,40.0,3.7,70,1,1,0,4,4,1,0,843.6841900000003,6
31,1,22.0,2.7,68,1,1,0,4,4,1,0,459.473676,1
32,1,48.0,3.7,69,1,1,0,4,4,0,0,969.999974,6
33,1,36.0,2.9,68,1,1,0,4,4,0,1,700.526298,6
34,1,36.0,3.1,68,1,1,0,3,2,0,0,720.526298,6
36,1,36.0,3.5,65,1,1,0,1,4,1,0,760.526298,6
37,1,45.0,3.0,68,1,1,0,3,4,1,0,852.6315549999997,6
38,1,35.0,2.6,62,1,1,0,3,4,1,0,654.736825,5
41,1,47.0,4.0,68,1,1,0,4,2,0,0,984.210501,6
42,1,36.0,3.4,67,1,1,0,2,4,1,0,750.526298,6
43,1,48.0,3.7,69,1,1,0,4,0,0,0,969.999974,6
44,1,46.0,3.8,69,1,1,0,4,4,0,0,948.421028,6
45,1,39.0,3.1,59,1,2,1,3,4,1,0,767.894717,6
48,1,39.0,2.7,69,1,1,0,3,4,0,0,727.894717,6
49,1,39.0,4.0,66,1,1,0,3,4,0,0,857.8947169999999,6
50,1,38.0,3.0,68,1,1,0,3,4,0,0,742.1052440000002,6
51,1,32.0,4.0,59,1,1,0,3,4,1,0,747.3684059999998,6
52,1,39.0,3.5,58,1,1,0,4,4,1,0,807.8947169999999,6
53,1,41.0,3.1,67,1,1,0,2,4,1,0,799.473663,6
54,1,29.0,2.5,64,1,1,0,3,1,1,0,549.9999869999998,3
55,1,48.0,3.5,68,1,1,0,4,4,1,0,949.999974,6
56,1,27.0,2.5,68,1,1,0,3,2,0,0,518.4210410000002,2
58,1,31.0,2.6,69,1,1,0,4,0,1,0,591.578933,4
59,1,45.0,3.7,68,1,1,0,3,4,0,0,922.631555,6
60,1,36.0,3.9,68,1,1,0,4,4,1,0,800.526298,6
61,0,34.0,2.5,67,1,1,0,4,0,1,2,628.9473519999998,4
62,1,35.0,3.8,67,1,1,0,3,4,1,0,774.736825,6
63,1,35.0,3.1,68,1,1,0,3,2,1,0,704.736825,6
64,1,36.0,3.9,67,1,1,0,4,4,1,0,800.526298,6
65,1,42.0,3.3,67,1,1,0,3,4,1,0,835.2631359999997,6
66,1,30.0,3.7,66,1,1,0,3,4,0,0,685.78946,5
67,1,25.0,3.7,69,1,1,0,3,4,0,0,606.842095,4
68,1,31.5,3.6,69,1,1,0,3,4,0,0,699.4736695,5
70,1,40.0,3.2,68,1,1,0,5,4,1,0,793.6841900000003,6
71,1,45.0,3.7,69,1,1,0,3,4,1,0,922.631555,6
72,1,40.0,3.5,68,1,1,0,4,4,0,0,823.6841900000002,6
73,1,41.0,3.7,69,1,1,0,3,4,0,0,859.4736630000001,6
74,1,34.0,3.5,69,1,1,0,3,4,0,0,728.9473519999997,6
77,1,39.0,3.4,69,1,1,0,4,4,1,0,797.8947169999999,6
78,1,38.0,3.0,67,1,1,0,5,3,0,0,742.1052440000002,6
79,1,41.0,3.2,66,1,1,0,5,4,1,1,809.473663,6
80,1,31.0,3.3,64,1,1,0,4,3,0,0,661.578933,5
81,1,42.0,3.6,68,1,1,0,3,4,0,0,865.2631359999998,6
82,1,34.0,3.2,69,1,1,0,4,4,0,0,698.9473519999998,5
83,1,36.0,3.8,66,1,2,1,3,4,0,0,790.526298,6
85,1,37.0,3.0,69,1,1,0,3,4,1,0,726.315771,6
86,1,42.0,2.3,67,1,1,0,3,4,1,0,735.2631359999997,6
87,1,36.0,3.3,69,1,1,0,4,4,1,0,740.526298,6
88,1,42.0,3.0,69,1,1,0,3,4,1,0,805.263136,6
89,1,40.0,3.5,55,1,2,1,2,4,1,0,823.6841900000002,6
91,1,29.0,2.8,67,1,1,0,2,1,0,0,579.9999869999998,3
92,1,36.0,3.3,68,1,1,0,4,4,1,0,740.526298,6
93,1,36.0,2.9,49,1,1,0,4,4,1,0,700.526298,6
94,1,37.0,2.7,61,1,1,0,4,4,0,0,696.315771,5
95,1,35.0,3.1,65,1,1,0,5,4,0,0,704.736825,6
96,0,41.0,3.4,65,1,1,0,3,4,0,2,829.473663,6
98,1,42.0,2.9,64,1,1,0,4,4,1,0,795.2631359999997,6
99,1,33.5,3.4,67,1,1,0,4,4,0,0,711.0526155,6
100,1,32.0,3.0,67,1,1,0,3,2,0,1,647.3684059999998,5
101,1,36.0,3.7,69,1,1,0,4,4,0,0,780.526298,6
102,1,34.5,3.3,67,1,1,0,4,4,0,0,716.8420884999997,6
103,1,32.0,3.0,69,1,1,0,4,4,0,0,647.3684059999998,5
104,1,35.0,3.3,68,1,1,0,4,4,1,0,724.736825,6
105,1,34.0,2.9,68,1,1,0,2,4,0,0,668.9473519999998,5
107,1,27.0,3.1,68,1,1,0,2,2,1,0,578.4210410000002,3
108,1,39.0,3.4,61,1,2,1,3,4,1,0,797.8947169999999,6
109,1,40.0,3.5,68,1,1,0,4,4,1,0,823.6841900000002,6
111,1,32.0,3.9,69,1,1,0,4,4,1,0,737.3684059999997,6
113,1,42.0,3.3,58,1,1,0,3,4,0,0,835.2631359999997,6
114,1,35.0,2.9,56,1,2,1,3,4,1,0,684.736825,5
115,1,34.0,2.9,70,1,1,0,2,1,0,0,668.9473519999998,5
116,1,38.0,3.2,69,1,1,0,4,4,0,0,762.1052440000002,6
118,1,42.0,3.4,63,1,1,0,3,4,1,0,845.2631359999997,6
121,1,38.0,3.6,69,1,1,0,4,4,0,0,802.1052440000002,6
122,1,37.0,3.2,68,1,1,0,3,4,0,0,746.315771,6
125,1,41.0,3.8,67,1,1,0,3,4,1,0,869.4736630000001,6
126,1,32.0,3.1,68,1,1,0,3,4,0,0,657.3684059999998,5
127,0,29.0,2.8,55,1,1,0,4,4,0,2,579.9999869999998,3
128,1,40.0,3.4,65,1,1,0,4,4,1,0,813.6841900000002,6
129,1,37.0,2.7,67,1,1,0,3,4,1,0,696.315771,5
131,1,44.0,3.4,70,1,1,0,3,2,0,0,876.842082,6
132,1,41.0,3.4,58,1,1,0,4,4,1,0,829.473663,6
133,1,42.0,3.8,62,1,1,0,4,4,0,0,885.2631359999997,6
134,1,41.5,3.2,65,1,1,0,3,4,0,0,817.3683995,6
135,1,41.0,2.9,68,1,1,0,4,4,1,0,779.473663,6
136,1,40.0,3.8,67,1,1,0,3,4,1,0,853.6841900000002,6
137,1,28.3,3.1,62,1,1,0,2,4,0,0,598.9473558999998,4
139,1,38.0,2.8,68,1,1,0,5,4,1,0,722.1052440000002,6
140,1,40.0,3.2,69,1,1,0,4,4,0,0,793.6841900000003,6
141,1,25.0,2.6,62,1,1,0,3,4,1,0,496.84209500000003,2
142,1,25.0,2.7,67,1,1,0,2,4,1,0,506.84209500000003,2
143,0,28.0,3.5,69,1,1,0,2,2,0,2,634.210514,4
144,0,33.0,3.5,67,1,1,0,4,4,0,2,713.157879,6
145,1,44.0,3.6,68,1,1,0,3,2,0,0,896.842082,6
146,1,36.0,3.5,69,1,1,0,3,4,0,0,760.526298,6
147,1,48.0,3.4,69,1,1,0,3,4,0,0,939.999974,6
149,1,34.5,3.0,54,1,1,0,2,4,1,0,686.8420884999998,5
150,0,38.0,2.5,61,1,2,1,2,4,1,2,692.1052440000002,5
151,1,41.0,3.2,69,1,1,0,5,4,1,0,809.473663,6
153,1,34.0,2.8,69,1,1,0,3,4,0,0,658.9473519999998,5
154,1,24.0,3.2,51,1,1,0,3,4,0,0,541.0526219999998,3
155,1,41.0,2.8,69,1,1,0,3,4,0,0,769.473663,6
156,1,35.5,3.8,68,1,1,0,4,4,1,0,782.6315615,6
157,1,33.0,2.0,64,1,1,0,3,4,1,0,563.157879,3
158,1,34.0,3.5,69,1,1,0,3,4,1,0,728.9473519999997,6
159,1,28.0,2.3,67,1,1,0,3,1,0,0,514.210514,2
160,1,31.0,3.5,69,1,1,0,2,4,0,0,681.578933,5
161,1,41.0,3.8,69,1,1,0,3,4,0,0,869.4736630000001,6
163,1,35.5,3.1,69,1,1,0,5,4,0,0,712.6315615,6
165,1,31.0,3.7,66,1,1,0,2,4,0,1,701.578933,6
168,1,44.0,2.1,61,1,1,0,4,4,0,0,746.842082,6
169,1,36.0,3.6,69,1,1,0,3,4,0,0,770.526298,6
170,1,36.0,3.1,69,1,1,0,5,4,1,0,720.526298,6
171,1,44.0,3.7,62,1,1,0,3,4,1,0,906.842082,6
172,1,44.0,2.7,67,1,1,0,2,4,1,0,806.842082,6
173,1,32.0,3.0,69,1,1,0,4,4,1,0,647.3684059999998,5
174,1,42.0,3.5,68,1,1,0,3,4,1,0,855.2631359999998,6
175,1,33.0,2.8,69,1,1,0,3,4,1,1,643.157879,5
176,1,31.0,3.1,68,1,1,0,4,1,1,0,641.578933,5
177,1,34.0,3.6,64,1,2,1,4,4,1,0,738.9473519999998,6
178,1,39.0,3.3,67,1,1,0,4,4,1,0,787.8947169999999,6
179,1,33.0,3.7,67,1,1,0,3,4,0,0,733.157879,6
180,1,42.0,3.7,66,1,1,0,3,4,1,0,875.2631359999998,6
181,1,41.0,3.0,67,1,1,0,4,4,1,0,789.473663,6
182,1,33.0,3.6,69,1,1,0,3,4,1,0,723.157879,6
184,0,34.0,3.3,56,1,2,1,3,4,0,2,708.9473519999997,6
185,1,43.0,2.5,56,1,2,1,4,4,1,0,771.052609,6
187,1,37.0,3.7,69,1,1,0,3,4,1,0,796.315771,6
188,1,40.0,2.7,67,1,1,0,3,4,1,0,743.6841900000003,6
190,1,45.0,3.4,69,1,1,0,5,4,1,0,892.6315549999997,6
191,1,35.0,3.0,64,1,1,0,4,4,0,0,694.736825,5
192,1,45.0,3.2,69,1,1,0,3,4,1,0,872.6315549999997,6
193,1,38.0,3.6,65,1,1,0,2,4,0,0,802.1052440000002,6
195,1,34.0,3.3,67,1,1,0,4,4,0,0,708.9473519999997,6
197,1,42.0,3.8,68,1,1,0,4,4,1,0,885.2631359999997,6
199,1,47.0,2.5,67,1,1,0,4,4,0,0,834.210501,6
200,1,40.0,3.1,66,1,1,0,4,2,0,1,783.6841900000003,6
201,1,34.0,2.8,52,1,1,0,4,4,0,0,658.9473519999998,5
202,1,34.0,3.5,70,1,1,0,4,4,0,0,728.9473519999997,6
203,1,38.0,3.0,67,1,1,0,4,4,1,0,742.1052440000002,6
204,1,33.0,3.1,53,1,2,1,3,4,1,0,673.157879,5
205,1,37.0,2.9,66,1,1,0,4,4,1,0,716.3157709999997,6
206,1,37.0,3.6,66,1,1,0,4,4,0,0,786.315771,6
207,1,34.0,3.2,68,1,1,0,3,4,1,0,698.9473519999998,5
208,1,39.0,3.5,69,1,1,0,4,0,1,0,807.8947169999999,6
209,1,40.0,3.7,69,1,1,0,4,4,1,0,843.6841900000003,6
210,1,42.0,3.9,70,1,1,0,4,4,0,0,895.2631359999997,6
211,1,26.0,3.1,67,1,1,0,4,4,0,1,562.631568,3
212,1,40.0,3.0,67,1,1,0,4,4,1,0,773.6841900000002,6
213,1,33.0,3.5,69,1,1,0,4,4,0,1,713.157879,6
214,1,34.0,3.0,67,1,1,0,4,4,1,0,678.9473519999998,5
215,1,42.0,3.0,70,0,1,0,4,4,0,0,805.263136,6
216,1,38.0,3.4,66,1,1,0,4,4,1,0,782.1052440000002,6
217,1,37.0,2.4,68,1,2,1,4,4,1,0,666.3157709999998,5
218,1,42.0,3.3,69,1,1,0,4,4,1,0,835.2631359999997,6
220,1,48.0,3.2,68,1,1,0,3,2,1,0,919.999974,6
221,1,25.5,2.5,66,1,1,0,4,4,1,0,494.73683150000005,2
222,1,40.0,3.9,69,1,1,0,3,4,0,0,863.6841900000002,6
223,1,40.0,4.0,62,1,1,0,4,4,0,0,873.6841900000002,6
224,1,35.5,3.4,65,1,1,0,4,4,1,0,742.6315615,6
225,1,33.0,3.8,67,1,1,0,2,4,1,0,743.157879,6
227,1,28.0,2.2,66,1,2,1,3,2,1,0,504.210514,2
228,1,34.0,3.7,69,1,1,0,4,4,0,0,748.9473519999998,6
229,1,33.0,3.4,69,1,1,0,4,4,0,0,703.157879,6
230,1,37.7,3.1,67,1,1,0,4,4,0,0,747.3684021,6
231,1,44.0,3.5,61,1,1,0,3,4,0,0,886.842082,6
232,1,37.0,2.4,66,1,1,0,3,4,0,0,666.3157709999998,5
233,1,38.0,3.3,67,1,1,0,4,4,0,0,772.1052440000002,6
234,1,41.0,3.4,69,1,1,0,4,4,0,0,829.473663,6
235,1,35.0,3.7,69,1,1,0,4,4,1,0,764.736825,6
236,1,41.0,3.6,67,1,1,0,4,4,1,0,849.4736630000001,6
237,1,40.0,3.8,69,1,1,0,4,4,0,0,853.6841900000002,6
