sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,days_b_screening_arrest,length_of_stay,compas_score,is_recid
Male,36,African-American,0,0,0,0,(M1),-1.0,30.875,0,0
Female,39,African-American,0,0,0,1,(F3),-15.0,44.041666666666664,0,0
Male,49,African-American,0,0,0,14,(M2),-1.0,1.9583333333333333,0,0
Female,24,African-American,0,0,0,1,(F3),-1.0,0.6666666666666666,1,0
Male,27,African-American,0,0,0,5,(F3),20.0,6.708333333333333,1,0
Male,60,African-American,0,0,0,7,(F3),-2.0,177.70833333333334,0,0
Female,41,African-American,0,0,0,0,(F2),0.0,27.583333333333332,0,0
Male,29,African-American,0,0,0,0,(F3),0.0,1.2083333333333333,0,0
Male,42,African-American,0,0,0,1,(F3),-1.0,1.8333333333333333,0,0
Male,23,African-American,0,0,0,0,(F3),0.0,1.0416666666666667,0,0
Male,33,African-American,0,0,0,3,(F3),-1.0,64.875,0,0
Male,23,African-American,0,0,0,2,(F5),-1.0,212.0,1,0
Male,21,African-American,0,0,0,0,(F3),0.0,29.666666666666668,0,0
Male,24,African-American,0,0,0,0,(F3),-1.0,29.875,0,0
Male,25,African-American,0,0,0,2,(M1),-1.0,31.0,0,0
Male,32,African-American,0,0,0,1,(F2),-1.0,58.708333333333336,1,0
Female,33,African-American,0,0,0,0,(F3),0.0,30.958333333333332,0,0
Male,45,African-American,0,0,0,4,(M1),0.0,92.0,0,0
Male,31,African-American,0,0,0,1,(F2),-1.0,2.9166666666666665,1,0
Female,35,African-American,0,0,0,0,(F3),-1.0,0.9166666666666666,0,0
Male,47,African-American,0,0,0,15,(F3),-1.0,-178.08333333333334,1,0
Male,30,African-American,0,1,0,10,(F3),0.0,93.70833333333333,1,0
Female,28,African-American,0,0,0,1,(M1),-19.0,-322.0416666666667,0,0
Female,29,African-American,0,0,0,0,(F3),-3.0,0.5833333333333334,0,0
Male,22,African-American,0,0,0,0,(F3),-1.0,1.8333333333333333,1,0
Male,33,African-American,0,0,0,0,(F3),-1.0,30.958333333333332,0,0
Female,26,African-American,0,0,0,0,(M1),-1.0,30.916666666666668,1,0
Male,56,African-American,0,0,0,24,(F3),22.0,6.375,1,0
Male,20,African-American,0,1,0,1,(F3),-1.0,24.791666666666668,1,0
Male,28,African-American,0,0,0,0,(M1),0.0,0.8333333333333334,0,0
Male,35,African-American,0,0,0,1,(F3),-1.0,0.7916666666666666,0,0
Female,33,African-American,0,0,0,5,(F3),-1.0,186.66666666666666,1,0
Male,36,African-American,0,0,0,5,(F3),-1.0,29.833333333333332,0,0
Male,25,African-American,0,0,0,0,(F3),0.0,31.041666666666668,0,0
Male,34,African-American,0,0,0,3,(M2),-1.0,31.041666666666668,1,0
Male,49,African-American,0,0,0,3,(F3),0.0,3.7083333333333335,1,0
Male,21,African-American,1,0,0,1,(F2),-15.0,14.916666666666666,1,0
Male,34,African-American,0,0,0,7,(F2),0.0,1.625,1,0
Male,27,African-American,0,0,0,3,(F7),-1.0,2.125,0,0
Male,29,African-American,3,0,0,6,(F7),-26.0,-151.79166666666666,0,0
Male,48,African-American,0,0,0,10,(F3),0.0,439.125,0,0
Male,35,African-American,2,0,0,4,(F3),-1.0,-55.25,1,0
Male,20,African-American,0,0,0,0,(F3),0.0,0.16666666666666666,1,0
Male,29,African-American,0,0,0,0,(M1),-1.0,1.0416666666666667,0,0
Male,27,African-American,0,0,0,1,(M1),-1.0,2.1666666666666665,1,0
Male,32,African-American,0,0,0,4,(F2),-1.0,187.20833333333334,1,0
Female,21,African-American,0,0,0,0,(F7),0.0,77.95833333333333,1,0
Male,47,African-American,0,0,0,15,(F3),-1.0,0.9166666666666666,1,0
Male,32,African-American,0,0,0,5,(M1),-1.0,1.0,0,0
Male,24,African-American,0,0,0,0,(F3),-1.0,30.541666666666668,0,0
Male,24,African-American,0,0,0,0,(M1),0.0,1.2916666666666667,0,0
Male,56,African-American,0,0,0,0,(M1),-1.0,0.9583333333333334,0,0
Male,28,African-American,0,0,0,9,(F3),-1.0,-141.08333333333334,1,0
Male,22,African-American,0,0,1,3,(F3),0.0,323.0833333333333,1,0
Male,32,African-American,0,0,0,4,(F3),-1.0,0.9166666666666666,1,0
Male,21,African-American,0,0,1,1,(F3),-1.0,1.0416666666666667,1,0
